h,k,l,mag(G),S,I,d,2theta
-5,-2,3,9.578444888595573,6.368163355566237e-15j,4.0553504523176635e-29,0.06848411672081557,-4
-5,-2,4,10.423401419495589,1.592040838891559e-14j,2.5345940326985393e-28,0.057831031897577594,-4
-5,-1,-5,11.096558179853261,(52-3.50248984556143e-14j),2704.0,0.05102738108609788,-4
-5,-1,-4,10.069962463111755,1.2736326711132474e-14j,1.6221401809270654e-28,0.06196181989026171,-4
-5,-1,-3,9.19257599046099,(52-2.865673510004806e-14j),2704.0,0.07435418386831405,-4
-5,-1,-2,8.510671620655353,6.368163355566237e-15j,4.0553504523176635e-29,0.0867465478463664,-4
-5,-1,-1,8.073932021708233,(52-2.228857174448183e-14j),2704.0,0.09638505316262934,163.64635301175244
-5,-1,0,7.92300409630156,0j,0.0,0.10009217059196122,152.49449273693452
-5,-1,1,8.073932021708233,(52-1.592040838891559e-14j),2704.0,0.09638505316262934,163.64635301175244
-5,-1,2,8.510671620655353,-6.368163355566236e-15j,4.055350452317663e-29,0.0867465478463664,-4
-5,-1,3,9.19257599046099,(52-9.552245033349354e-15j),2704.0,0.07435418386831405,-4
-5,-1,4,10.069962463111755,-1.2736326711132471e-14j,1.6221401809270647e-28,0.06196181989026171,-4
-5,0,-5,10.987229817279424,0j,0.0,0.05204792870781984,-4
-5,0,-4,9.949359759669237,1.5920408388915588e-14j,2.5345940326985384e-28,0.0634730837900242,-4
-5,0,-3,9.060301813915778,0j,0.0,0.07654107162914682,-4
-5,0,-2,8.367624935038267,1.592040838891559e-14j,2.5345940326985393e-28,0.08973780811693075,-4
-5,0,-1,7.92300409630156,0j,0.0,0.10009217059196122,152.49449273693452
-5,0,0,7.769144710253312,1.592040838891559e-14j,2.5345940326985393e-28,0.10409585741563968,144.5271713543728
-5,0,1,7.92300409630156,0j,0.0,0.10009217059196122,152.49449273693452
-5,0,2,8.367624935038267,1.592040838891559e-14j,2.5345940326985393e-28,0.08973780811693075,-4
-5,0,3,9.060301813915778,0j,0.0,0.07654107162914682,-4
-5,0,4,9.949359759669237,1.592040838891559e-14j,2.5345940326985393e-28,0.0634730837900242,-4
-5,1,-5,11.096558179853261,(52-2.865673510004806e-14j),2704.0,0.05102738108609788,-4
-5,1,-4,10.069962463111755,1.2736326711132471e-14j,1.6221401809270647e-28,0.06196181989026171,-4
-5,1,-3,9.19257599046099,(52-2.228857174448183e-14j),2704.0,0.07435418386831405,-4
-5,1,-2,8.510671620655353,6.368163355566236e-15j,4.055350452317663e-29,0.0867465478463664,-4
-5,1,-1,8.073932021708233,(52-1.592040838891559e-14j),2704.0,0.09638505316262934,163.64635301175244
-5,1,0,7.92300409630156,0j,0.0,0.10009217059196122,152.49449273693452
-5,1,1,8.073932021708233,(52-9.552245033349354e-15j),2704.0,0.09638505316262934,163.64635301175244
-5,1,2,8.510671620655353,-6.368163355566236e-15j,4.055350452317663e-29,0.0867465478463664,-4
-5,1,3,9.19257599046099,(52-3.184081677783118e-15j),2704.0,0.07435418386831405,-4
-5,1,4,10.069962463111755,-1.2736326711132473e-14j,1.6221401809270652e-28,0.06196181989026171,-4
-5,2,-5,11.418264166778204,-6.368163355566237e-15j,4.0553504523176635e-29,0.04819252658131467,-4
-5,2,-4,10.423401419495589,1.5920408388915588e-14j,2.5345940326985384e-28,0.057831031897577594,-4
-5,2,-3,9.578444888595573,-6.368163355566237e-15j,4.0553504523176635e-29,0.06848411672081557,-4
-5,2,-2,8.926067699613938,1.592040838891559e-14j,2.5345940326985393e-28,0.07886049804215126,-4
-5,2,-1,8.510671620655353,-6.3681633555662356e-15j,4.055350452317662e-29,0.0867465478463664,-4
-5,2,0,8.367624935038267,1.592040838891559e-14j,2.5345940326985393e-28,0.08973780811693075,-4
-5,2,1,8.510671620655353,-6.368163355566237e-15j,4.0553504523176635e-29,0.0867465478463664,-4
-5,2,2,8.926067699613938,1.592040838891559e-14j,2.5345940326985393e-28,0.07886049804215126,-4
-5,2,3,9.578444888595573,-6.368163355566237e-15j,4.0553504523176635e-29,0.06848411672081557,-4
-5,2,4,10.423401419495589,1.5920408388915588e-14j,2.5345940326985384e-28,0.057831031897577594,-4
-5,3,-5,11.935186571147623,(52-2.2288571744481825e-14j),2704.0,0.04410841415916936,-4
-5,3,-4,10.987229817279424,1.2736326711132473e-14j,1.6221401809270652e-28,0.05204792870781984,-4
-5,3,-3,10.189137764778435,(52-1.592040838891559e-14j),2704.0,0.06052084733467423,-4
-5,3,-2,9.578444888595573,6.368163355566237e-15j,4.0553504523176635e-29,0.06848411672081557,-4
-5,3,-1,9.19257599046099,(52-9.552245033349354e-15j),2704.0,0.07435418386831405,-4
-5,3,0,9.060301813915778,3.944304526105059e-31j,1.5557538194652854e-61,0.07654107162914682,-4
-5,3,1,9.19257599046099,(52-3.184081677783118e-15j),2704.0,0.07435418386831405,-4
-5,3,2,9.578444888595573,-6.368163355566237e-15j,4.0553504523176635e-29,0.06848411672081557,-4
-5,3,3,10.189137764778435,(52+3.1840816777831174e-15j),2704.0,0.06052084733467423,-4
