h,k,l,|G|,2theta,d,I
-6,-4,4,8.095698964634494,165.95891167286584,0.09586744807417698,0.05568818316445976
-6,-3,-4,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
-6,-3,-3,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-6,-3,-2,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
-6,-3,-1,6.6585368903775395,109.43453389274092,0.14171709715313116,0.0
-6,-3,0,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
-6,-3,1,6.6585368903775395,109.43453389274092,0.14171709715313116,0.0
-6,-3,2,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
-6,-3,3,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-6,-3,4,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
-6,-2,-5,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
-6,-2,-4,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068329423591907
-6,-2,-3,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
-6,-2,-2,6.512177547558944,105.94919100847936,0.1481587833873644,0.019641471820752935
-6,-2,-1,6.286252520106808,100.82836990078259,0.15899966997668374,0.0
-6,-2,0,6.209117666122562,99.14278056340999,0.16297466172610084,0.0018324503202442604
-6,-2,1,6.286252520106808,100.82836990078259,0.15899966997668374,0.0
-6,-2,2,6.512177547558944,105.94919100847936,0.1481587833873644,0.019641471820752935
-6,-2,3,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
-6,-2,4,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068329423591907
-6,-2,5,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
-6,-1,-5,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-6,-1,-4,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
-6,-1,-3,6.6585368903775395,109.43453389274092,0.14171709715313116,0.0
-6,-1,-2,6.286252520106808,100.82836990078259,0.15899966997668374,0.0
-6,-1,-1,6.051899295441682,95.79390842244703,0.17155227550115879,0.0
-6,-1,0,5.971738149598796,94.12761301306331,0.1761888234876766,0.0
-6,-1,1,6.051899295441682,95.79390842244703,0.17155227550115879,0.0
-6,-1,2,6.286252520106808,100.82836990078259,0.15899966997668374,0.0
-6,-1,3,6.6585368903775395,109.43453389274092,0.14171709715313116,0.0
